Timestamp,Column 2,Full name,Please enter the date today,"Share a win from the last week (what went well, something you enjoyed)",Share a loss (something that was challenging or did not go well),"Share a blocker, if any (anything that stopped you from doing what you needed to do)",Anything else you would like to share or ask
7/10/2025 8:58:41,,Student 12,7/10/2025,I’ve been experimenting with prompts and really seeing how powerful and useful AI can be when applied right. I’m excited to keep building on that and learning how to integrate it more practically into my workflow.,It was challenging to let go of my old way of writing prompts which was being generic but I am learning how to be more specific when prompting LLMs.,I had nothing I would classify as a blocker.,"I’m curious about how we’ll continue using AI in future sessions or projects, especially in Salesforce."
7/10/2025 9:30:28,,Student 13,7/10/1997,"The communication from Umuzi team is very thorough and effective, this make it easy on the learners' side.",none,illness,none
7/10/2025 9:36:24,,Student 14,6/10/1996,Managed to complete all my work in time.,,"Unable to complete the Odyssey Children's Book assignment as I do not have access to 'Odyssey Children's Book Template' link, I have requested access but nothing has changed.",
7/10/2025 10:13:12,,Student 15,7/10/2025,a win from last week is getting to know my classmates well,,"my laptop mic was not working,so it interrupted me on many presentations but i managed to resolve my problems later on",
7/10/2025 10:25:14,,Student 16,7/10/2025,I managed to do my passport,Travelling to work on Monday,N/A,N/A
7/10/2025 10:33:39,,Student 17,8/11/1995,Prototype budget,"I do not know, maybe presenting something.","Nothing much, maybe doing house chores.","This is amazing thing, but lot of work though hahaha."
7/10/2025 10:52:29,,Student 18,7/10/2025,"Completed the desktop UI for my chat app (React + Tailwind), and finally gained clarity on task breakdown and workflow — everything started clicking into place","Had to walk away from my previous job — a hard but necessary step for growth. On a personal note, my headset broke again after repairing it, which was frustrating. Both events reminded me to let go of what’s no longer serving me, even when it hurts.","Switched to Vodacom Home Prepaid, which is significantly slower than Telkom in my area. I’m locked in for the month, so I'm adapting by scheduling downloads during off-peak hours. It’s slowing some tasks but manageable with patience","“Money is in the mind, not in the bank account.”
It reminded me that mindset and value creation are more important than temporary financial status. This perspective helped me stay focused on long-term growth, especially after making the difficult decision to leave my previous job."
7/10/2025 10:58:24,,Student 19,7/10/2025,Experience labs sessions (provided me with a new perspective in career planning),N/A,Fatigue (needed to create an Apex project),N/A
7/10/2025 12:41:19,,Student 20,7/10/2025,I managed to work according to a schedule. The schedule has really been helping work more efficiently this week.,Keeping up with the different assignments/activities on the various platforms was overwhelming at first but I have gotten used to it.,I have been experiencing some technical difficulties.,Not at the moment. I am excited to see how I can Improve and grow with Umuzi
7/10/2025 14:21:27,,Student 21,7/10/2025,I enjoyed the Design Your life week. It helped me be more insighful about my life.,What challenged me last week was basically my time management. I got a wake up call that doing other stuff outside the Umuzi work requires good time management so I could balance all my responsibilities.,I'm not sure of any blockers right now.,I have no questions
7/10/2025 14:29:38,,Student 22,7/10/2025,"I made significant improvements on my first chatbot last week, it's still not very smooth but it works better now","A recent challenge I faced was trying to balance multiple priorities,  particularly starting my freelance journey while still navigating uncertainties around my financial situation. I'm still figuring things out","A blocker I experienced recently was emotional burnout. I’ve been juggling a lot mentally, and while I try to stay focused and productive, some days it’s hard to stay present or motivated. I’ve been pushing through by staying busy with hands-on work like my freelance projects and the tasks given by Umuzi",Thank you for checking in
7/10/2025 14:37:29,,Student 23,6/10/2025,keeping up with my latest assignments,,,
7/10/2025 18:04:56,,Student 24,7/10/2025,"The Odyssey plan really hit home with me, I needed to that activity","Temporarily moving to Johannesburg, has left me a bit off in completing my work properly ",The aforementioned,Nope
7/10/2025 20:23:06,,Student 25,3/28/1997,"Last i had more time to dig a lil bit of myself, which was challenging at first but it made realize that i do not spend most time with myself and planning my future not in my head but writing it down.",I had a difficult time balancing my work and attending the kids.,My blocker was bad network and data,
7/10/2025 20:25:48,,Student 26,7/10/2025,"Designing your life sessions went very well, I enjoyed how these lessons have helped me unpack things that I didnt realize about myself. ","Opening up was very challenging, am an introvet and I don't really like to talk but I realized that there are some student who are like me and they opened up.","Other commitment like school, sometime the live sessions we have clashes with school webiners.",
7/10/2025 20:41:41,,Student 27,7/10/2025,Completed my Google cyber security certification.,Lost access to my old Google account,Lack of data,Thank you for providing this opportunity for growth.
7/10/2025 22:30:48,,Student 28,7/10/2025,I have enjoyed that I was able to pay my rent,"I thought this month things are going to be better, get a permanent job ",Requirements,
7/10/2025 23:49:07,,Student 29,3/7/2000,"Before this program started, I was beginning to become frustrated with myself and my life. I felt like I was taking any job to survive. I didn't expect that one of my tasks was the one thing I've been thinking about, but struggling to start. I was happy that I was challenged to sit and think about my future. To create a realistic plan, even though it may not go according but i have milestones put in place for me to work towards. No pressure towards me, but grateful that it's done, and I can now remember things that I want to achieve, and even improve the plan. ","One of the challenges that I faced was that I was told about this program last minute, so preparation on my end was not properly done at the start of the week. And trying my best to show up for every session and make time to do my tasks.","A blocker that I experienced was that my baby was sick last week, due to this, I missed a submission. ",
7/11/2025 8:17:15,,Student 30,7/11/2025,Managing to submit tasks even though it was a bit difficult for me as I was not used to the set up.,At the beginning it was hard for me to adapt to working online,Had an issue with electricity which made it a bit difficult for me to attend but it is solved now.,I'm good
7/11/2025 17:46:38,,Student 31,7/11/2025,I learnt a lot from the DYL series about how to plan my live which is something I had never done before.,There are a few assignments I turned in late.,Having to go to work at night and attend classes and meetings during the day.,I'm just happy that now that I have finished serving my notice at work I'll be able to dedicate enough time towards the tasks and activities we will be doing.
7/13/2025 16:15:43,,Student 32,7/13/2025,I was equipped with both tech (AI) and financial literacy,,,
7/14/2025 0:03:14,,Student 33,7/13/2025,"I enjoyed the Design Your Life Odyssey plans because it was a fun and creative way to think about my life choices and plans, doing small things or experiments to get there and pivoting when necessary.",Time Management - working on improving that.,Time Management - working on improving that.,
7/14/2025 18:06:28,,Student 34,7/14/2025,Caught up with a old friend and we had great catch up,Dedicating time to focus on my honours project,I caught flue and it's  really been rough and draining,Nothing else
7/15/2025 15:34:34,,Student 35,7/15/2025,Learning about AI and also rewatching the worth me video.,I would say finishing the datacomb assigned tasks,N/A,Nothing
7/15/2025 18:16:19,,Student 36,7/15/2025,I have set myself a weekly goal and I have achieved it,"I have not yet been able to start with my Launch courses, but I will start today ",I currently do not have any blocker,
7/15/2025 19:46:55,,Student 37,7/15/2025,"Learned how to use AI, able to think deeper about the things I can achieve.","I'm still trying to get used to working online on my own, but it's getting better.",Not being able to access the Financial course,I'm good
7/15/2025 21:46:20,,Student 38,7/15/2025,Completed all my assigned tasks well,,,
7/16/2025 7:35:15,,Student 39,7/16/2025,I beat flu that almost took me out,I didnt go to gym for the whole week,Flu,Nothing
7/16/2025 8:32:40,,Student 40,7/16/2025,I have begun taking control of my financial life by working on a budget.,"Everything went pretty smoothly this week, besides the ""Financial Foundations"" course not being available.","The ""Financial Foundations"" course  was not available on my ""Worth"" portal","I would like to know about the interview assignment published on ""Hiration"" (umuzi.hiration.com) . I am not sure if it was mentioned in any of the meetings but I noticed an assignment due on the 31st of July. Could you please provide any further information? "
7/16/2025 8:38:58,,Student 41,7/16/2025,"I managed to finish my work for my side project and meet the deadline in time, leant a lot new skills and knowledge about managing money.",None,"When working in a team from my side gig, I had to wait for another team member to complete his work in order for me to start mine.",
7/16/2025 8:50:23,,Student 42,12/23/1999,"I learned more about AI, that was interesting for me.",Everything was fine for me.,"Not having data, made me start doing my work late. I started doing my work after the due dates, and i was confused i did not know where to start.",No
7/16/2025 8:55:14,,Student 43,12/23/1999,"I learned more about AI, It was interesting for me. ","I started doing doing my work late due to lack of data, and it was confusing because i was left behind. I didn't know where to start.",Lack of Data,No
7/16/2025 9:57:46,,Student 44,7/16/2025,Managed to complete and submit all the activities that were due on time.,"On a personal point of view, a challenge was that my nanny is on leave and I am left alone with the kids at home because of school holidays.Otherwise I am progressing even though looking after the kids causes challenges for me attend classes.","There was no blocker,I did everything that I had to do.",I appreciate the time that we have been granted this week to complete and submit all the activities that are expected from us.
7/16/2025 12:01:33,,Student 45,7/16/2025,My knowledge concerning financial planning has drastically increased,My time management this week has been seeing a bit of a slowdown,none for now,none for now
7/16/2025 12:55:39,,Student 46,2/23/2025,learning,,,
7/16/2025 13:01:03,,Student 47,7/16/2025,learning new skill,,,
7/16/2025 14:15:59,,Student 48,6/10/1996,"I really enjoyed learning about managing personal finances, I think it is something everyone should learn",,unable to access the 'Financial Foundations' course on Worth.,
7/16/2025 14:33:19,,Student 49,7/16/2025,"I really enjoyed the Worth Wealthy Me course this past week. It helped me realize that building wealth is achievable when you have a plan for your money, how to use it, save it, invest it, and stay out of debt. Even if you're already in debt, the course taught me practical ways to manage it. What made me feel amazing is that, despite past mistakes with my finances, I now have the knowledge and skills to manage my money better and build a stronger financial future.","During the Worthy Wealthy Me course, I felt a bit down as I reflected on the financial mistakes I’ve made in the past. It was challenging to confront those decisions, but the course also gave me hope. It reminded me that it’s never too late to take control, there’s still time, and that time is now. I’ve realized that becoming wealthy and financially independent is truly possible.","There were no blockers this week, nothing stopped me from doing what I needed to do.","Yes, I’m really excited about my journey so far at Umuzi and truly appreciate the opportunity. The experience and knowledge I’m gaining are significantly improving my skills, and I’m looking forward to growing even more."
7/16/2025 15:01:12,,Student 50,7/16/2025,The Experience Lab is going well and I have been accepted to study LLB with University of South Africa as of August 2025.,N/A,N/A,N/A
7/16/2025 15:23:42,,Student 51,7/16/2025,Gained amazing knowledge to the concept of finance,none for now,none for now,I dont have access to the financial foundations course
7/16/2025 15:24:36,,Student 52,7/16/2025,Leant a lot about money,None,None,I have no access to financial foundation course and others
7/16/2025 15:25:05,,Student 53,7/16/2025,,,,I don't have access on Financial Foundation course
7/16/2025 15:25:56,,Student 54,7/16/2025,I got my Data Scientist Associates Certification on DataCamp.,I first failed the first practical exam but got great results on my second try.,"Power outages, my laptop has a problem of turning off when disconnected to a power source ",I still don't have access to the financial foundations course.
7/16/2025 15:29:49,,Student 55,7/16/2025,"I have begun taking control of my financial situation, thanks to The Wealthy Me course. I am confidently planning my budget with the knowledge I received this week.","I was not able to access the ""Financial Foundations"" course.","I was not able to access the ""Financial Foundations"" course.",I do not have access to the Financial Foundations course.
7/16/2025 15:32:50,,Student 56,7/16/2025,"I enjoyed the Worth course so far. Taught me a lot about how to manage my finances. I also enjoyed the DataCamp courses where I learnt a lot more about AI, how to train it and also what is involved in AI Ethics. ",All wins this week fortunately.,Initially I wasn't able to access the Financial Foundations course however that has been resolved and I have been able to do it.,Nothing at the moment.
7/16/2025 15:35:09,,Student 57,7/16/2025,,,,"I do not have access to the financial foundation course
"
7/16/2025 15:40:48,,Student 58,3/28/1997,"I enjoyed creating the children's book using generative AI, it looked like a real book. it was fun creating it",Could not finish some of my assignments,"Had technical issues, my phone that i use to hotspot my PC got broken",I do not have access to Financial foundations course
7/16/2025 15:47:11,,Student 59,7/16/2025,I enjoyed learning about how to live frugally on the wealthy me course.,N/A,N/A,I don't have access to the financial foundations course.
7/16/2025 15:54:56,,Student 60,7/16/2025,"Learning about money matters, debt management and investing ",,,No access to professional foundations
7/16/2025 16:02:16,,Student 61,7/16/2025,I REALLY enjoyed this weeks learning experience. It made less scared of money,There's wasn't a loss this week,N/a,
7/16/2025 16:04:14,,Student 62,7/16/2025,"I really enjoyed this weeks learning experience,  it made less intimidated on money, building wealth etc.",N/a,N/a,
7/16/2025 16:39:01,,Student 63,7/16/2025,I was able to complete my tasks on time,My week went well I believe,,
7/16/2025 16:39:15,,Student 64,7/16/3025,I completed all my assigned tasks and assignments on time,None,None,May i please be added on Financial Foundation course
7/16/2025 17:59:55,,Student 65,7/16/2025,"I enjoyed the doing the children odyssey book, I really enjoyed using AI.",Nothing really happened that was challenging,Nothing much,
7/16/2025 21:11:31,,Student 66,8/11/1995,These teachings of how to save and invest money are great.,I am struggling to invest and save money even after the teachings,"I am a greedy person, i think.","Fantastic teachings,i love it here."
7/16/2025 21:45:48,,Student 67,7/16/2025,"A win for me last week, was me being to submit my tasks in time.",I'm hoping to meet my classmates soon,I still do not have electricity,
7/16/2025 22:55:01,,Student 68,3/7/2000,"I gained a deeper understanding of AI, including its fundamentals and advanced models. I also explored key ethical considerations, challenges, and policies, as well as the processes involved in generating and collecting information from datasets used by AI tools.",N/a,N/a,"I would like to inform you that I still do not have access to the Financial Foundation course. I’ve checked throughout the day, but it remains unavailable on my end."
7/21/2025 8:08:40,,Student 69,7/21/2025,"I enjoy completing my certificates of worth me, they were very educational.",Not being able to access the financial foundation course.,None,None
7/22/2025 13:33:33,,Student 70,9/19/1995,The preparation of our home ancestral ceremony,"I couldn't do my work, I am far behind with my submissions","The preparation of the ceremony demanded a lot from me, physically and mentally I was exhausted",None.
7/22/2025 14:25:35,,Student 71,7/22/1998,I enjoyed learning about finances. Making wiser financial decisions.,The challenge I had was solved,Had bad network sometimes but it got better,I'm good.
7/23/2025 16:44:36,,Student 72,7/23/2025,"I managed to finish my tasks on time,","Family demanding, I had to plan and schedule family and school work accordingly.",,
7/24/2025 12:07:49,,Student 73,7/24/2025,Completed FNB app of the year exam,Travelling expenses,None,None
7/24/2025 22:18:30,,Student 74,7/24/2025,,,,"I am currently going through home situations which causes some delays in some of my submissions however I remain committed to finish this program with umuzi no matter what circumstances, I am taking full advantage of this opportunity to accelerate my skills/career to better myself."
7/28/2025 23:19:35,,Student 75,7/28/2025,I got to get into a team of deep thinkers,email wasnt working so couldnt do my work.,email not working,will this affect my progress in the program?
8/1/2025 15:23:33,,Student 76,8/1/2025,Coming up with an innovation idea as a team.,Sleeping very late.,N/A,N/A
8/1/2025 15:32:59,,Student 77,8/1/2025,Learning new things which are productive to my career,Sometimes missing out the class,N/A,N/A
8/4/2025 14:41:26,,Student 78,8/4/2025,Doing the wire frame for figma with the group.,A lot of restless nights,N/A,N/A
8/6/2025 9:59:52,,Student 79,8/6/2025,I learned alot about design thinking,consumed a lot of mobile data,,
8/6/2025 10:03:06,,Student 80,8/6/2025,I manage to attend the in person interview even I were bit nervous about it although I'm glad I did very well.,"Multiple task, I couldn't assist my team for the last 2 days on MUB due to preparation of an interview such as travelling and bookings.",Traveling,What should I do in position I receive an offers for some roles?
8/6/2025 10:14:13,,Student 81,8/6/2025,We successfully presented our solutions last week.,,,
8/6/2025 10:15:09,,Student 82,8/6/2025,Presentation skills,,,
8/6/2025 10:30:56,,Student 83,8/6/2025,Making progress on my honours research project,Taxi rank chronicles  and not being able to commute on time due to traffic and taxi strike in my area,Taxi strike in my area,I don't  know how to join the circle group
8/6/2025 10:31:39,,Student 84,8/6/2025,My team and I managed to successfully design and present a mockup presentation for our idea.,Our communication as a team was a bit lacking at first but gradually improved as the week went on.,The time given to complete the MUB sprint was short and therefore felt a bit rushed.,I still do not have access to the circle platform .
8/6/2025 11:24:08,,Student 85,8/6/2025,I enjoyed seeing other presentations.,,,I did not receive an email to join the Umuzi circle
8/6/2025 11:51:17,,Student 86,8/16/2025,our unique presentation,,,
8/6/2025 13:02:04,,Student 87,8/6/2025,"The MUB course was fun, we got to work as teams and I learned a lot.",,,
8/6/2025 15:40:56,,Student 88,8/6/2025,My team's presentation,We couldn't present our prototype due to time,connectivity and time,"Will I be affected badly by the week I missed due to not being able to access my email,  I have been stressed about that because I am scared of not progressing in this program"
8/7/2025 8:55:41,,Student 89,8/6/2025,working in a team,Time management of personal work,none,none
8/7/2025 9:42:02,,Student 90,8/7/2025,Had a reunion with my friends after a long time,My interview got cancelled because they decided to freeze the post,Nothing,I am not in umuzi network group
8/7/2025 10:49:23,,Student 91,8/7/2025,I enjoyed working with a team and successfully finishing everything on time as we planned,None,None,No
8/8/2025 12:59:56,,Student 92,11/28/1998,,,,
8/20/2025 12:05:32,,Student 93,8/20/2025,I really enjoyed doing the 10 year odyssey plan.,My Test Kitchen wasn't done correctly.,None whatsoever.,Not at the moment.
8/20/2025 17:44:06,,Student 94,8/20/2025,"I enjoyed opening to people about how I feel, and listening to their stories.",I could not understand the Odyssey plan clearly,I had to skip classes for 2 days which led to me missing some activities,No
8/20/2025 17:53:10,,Student 95,8/20/2025,"I enjoyed sharing about my life, while listening to other share their journey",I couldn't understand the odyssey plan well.,I had to skip classes for 2 days which led to missed activities.,No
8/20/2025 18:49:03,,Student 96,8/20/2025,I enjoyed doing all activities because it made me reflect on my future career plan,I had poor network coverage,Network Coverage,I am grateful for this amazing opportunity
8/20/2025 19:05:02,,Student 97,8/20/2025,"The exercises gave me a clear, actionable first steps to start building towards my ideal career path, which was incredibly motivating.",I felt anxious narrowing down my odyssey plans.,I had a low of power and got sick.,
8/21/2025 9:52:17,,Student 98,8/21/2025,Empathizing,Time taken for the Odyssey plan,Network issues,
8/21/2025 10:40:25,,Student 99,8/21/2025,"I managed to stay consistent with my assignments and finished one ahead of time, which gave me space to review my work properly. I also enjoyed collaborating with my peers during discussions.","I struggled a bit with time management, especially balancing different tasks, which made me feel slightly rushed at certain points.","No major blockers, but sometimes internet connectivity slows me down.",I appreciate the structure of the program so far. I would like to know if there are additional resources for strengthening problem-solving skills outside of assignments.
8/21/2025 10:49:23,,Student 100,8/21/2025,,,,"when completing the tasks on data camp, e.g., chat gpt, when i try to complete chapter 2 it requires that i subscribe for a certain amount, how do i continue from there? Kindly assist."
8/21/2025 14:17:14,,Student 101,8/21/2025,being to submit all the task and learn and reflect a lot about myself,Everyday submissions but i am adapting now,none,"none, thank you."
8/21/2025 15:57:03,,Student 102,8/21/2025,Getting a clear fundamentals behind AI,N/A,N/A,N/A
8/21/2025 16:48:43,,Student 103,8/21/2025,10 year plan,5 lives,,thank you for the data camp
8/21/2025 17:07:45,,Student 104,8/21/2025,"I'm enjoying the Datacamp AI courses, very interesting","Did not realise how many assignments I had due today, so now I'm rushing through the material.",,
8/21/2025 18:03:09,,Student 105,8/21/2025,I was consistent as I did all the required activities and met new wonderful people.,With the activities I wanted perfection and that made me submit on the last minute so I still struggle with time management.,I feel that home chores were a blocker but I will get used into managing my time.,I am very grateful to be in this course as it allowed me to be vulnerable.
8/21/2025 18:15:32,,Student 106,11/28/1997,Learning new things about Ai that i never thought of. It was greater diving deeper into it than just using it as my assistant,None,Missed 2 session because my Wi-Fi was super down but I got it sorted and I am back,
8/21/2025 19:36:59,,Student 107,8/21/2025,I learnt a lot about myself through planning the Odyssey,I struugled to balance between Umuzi and Wits 'Preparing for my final year exams starting in September while also submitting projects.,Time,I would like to be given the opportunity to submit the work that I missed starting from the Odyssey.
8/21/2025 19:43:28,,Student 108,8/21/2025,I enjoyed being with like minded peers,None,None,None
8/21/2025 19:46:42,,Student 109,8/21/2025,The Design Your Life module helped me reflect on my life and boosted my motivation to achieve my dreams,"I didn’t find anything particularly challenging, though I was a bit disappointed that I had to miss Tuesday’s meeting due to a family responsibility.","I was pushing hard to meet the deadline for the DataCamp AI course and managed to complete 90%. However, I feel like my brain has absorbed a lot of information and is exhausted, so I’ll tackle the last Generative AI course tomorrow.","Not really, Just looking forward to future tasks and sessions."
8/21/2025 20:57:43,,Student 110,8/21/2025,Being able to have direction in life by creating a plan and breaking it down each day,Not having completed my profile,Time management has been a stumbling block,"Nothing, I genuinely enjoy the Umuzi program"
8/21/2025 21:21:39,,Student 111,12/20/1999,Odessey plan,none,Power outage,none
8/21/2025 21:28:16,,Student 112,1/12/1998,Engaging huddle sessions in our cohort,DataCamp access,DataCamp access,Enjoying the program
8/21/2025 21:39:17,,Student 113,8/21/2025,Learned to empathize with others.,"Time extension for assignments, I feel like we are not given enough time sometimes. ",Not feeling well and being unable to attend classes.,No
8/21/2025 22:00:12,,Student 114,7/27/1997,I enjoyed the classes and that I managed to do all the tasks.,,,
8/21/2025 22:25:52,,Student 115,8/21/2025,I gain some valuable life skills and I enjoyed the sessions and the facilitators were very friendly,The challenge for me was that some sessions were clashing with my University practical's  but I still managed to attend all the sessions and pulled through,,
8/21/2025 22:35:43,,Student 116,8/21/2025,I completed my first week successfully.,n/a,"I’m balancing being a mom and a student at the same time. Attending Google meetings and completing assignments with a 5 month old is challenging, but I did it—I submitted everything on time, and I’m proud of myself.",n/a
8/21/2025 23:13:44,,Student 117,8/21/2025,"Got to reflect on myself and get to see what I really want in life or to achieve, a thing I didn't do often. The odyssey plan is still in my head and I'm starting to visualize myself achieving the things I have written.","Making a presentation for the odyssey plan, I was scared but got to overcome it and the laptop am using froze or stopped responding.",Just lack of courage and the laptop jamming.,
8/22/2025 0:21:29,,Student 118,8/22/2025,I enjoyed the excercise about the 5 lives. It allowed me to be creative and explore different ideas.,"I found the 10 year plan to be challenging, only because at first I did not know what to write. I had to think hard about what i want and why I want it.","Fatigue, I was still adjusting to the new schedule.",It was a great course I realy enjoyed it.
8/22/2025 9:29:46,,Student 119,8/22/2025,I managed to submit all my work without the usual electricity blackout in my area,Missed a whole day because I just could not connect t the internet due to electricity blackout.,"I have an issue with my laptop, its windows is faulty so sometimes it does go blank but this doesn't happen often",None rather than what I already share
8/22/2025 10:10:19,,Student 120,8/22/2025,"I consistently returned to weightlifting, which I really enjoyed",I was unable to complete most of my work within the deadlines,"I did not have access to the internet, which prevented me from completing my tasks",
8/22/2025 12:00:07,,Student 121,8/22/2025,I have enjoyed sharing knowledge with peers,,,
8/22/2025 19:36:43,,Student 122,8/22/2025,I learnt a lot and got to know how to use ChatGPT effectively,,,
8/22/2025 20:41:47,,Student 123,7/19/1995,"Just talking with the peers, learning that we are all trying to survive",I lost my aunt so everything kinda went blank,Loss of a loved one,
8/22/2025 22:23:12,,Student 124,8/22/2025,Getting to do the courses on DataCamp,Managing my time,None,None
8/22/2025 23:02:26,,Student 125,8/22/2025,I enjoyed doing the wealthy me course because it made realize the importance of building wealth,Absolutely nothing happy week,Nothing,Everything is going well
8/24/2025 14:20:20,,Student 126,12/8/1996,"A significant win was successfully handling a complex multi-part request that required me to integrate information from various domains. For instance, I recently answered questions about financial literacy, which involved a series of true/false and multiple-choice questions on topics like debt management, budgeting, and investing.","A challenging moment from the past week was trying to implement a new budgeting strategy that I learned about. I found it difficult to stick to the plan for my variable expenses, especially when I had unexpected social events pop up. It was a good reminder that while the theory is simple, applying it in real life requires a lot of discipline and flexibility.",A blocker for me has been dealing with some of my pre-existing debts. I've been so focused on learning about investing and budgeting that I haven't made as much progress on paying down my high-interest debt as I'd like. The interest charges feel like they're stopping me from moving forward with the other financial goals I'm learning about.,I'm always learning and adapting to this wonderful community.
8/24/2025 16:08:13,,Student 127,11/19/1992,"I enjoyed the Odyssey plan, designing your life... Taught me so much on the things to always to consider while planning","Fell sick, had a very bad flu and that challenged my participation and submitting work on time",Sickness,Nothing at all
8/26/2025 11:49:35,,Student 128,8/26/2025,I got to hang out with some old friends from my home town.,I broke my spectacles.,Lack of leisure time.,Nope.
8/26/2025 16:37:49,,Student 129,8/26/2025,Learned a lot about budgeting and investing for my future,Time management,,
8/27/2025 5:52:24,,Student 130,8/27/2025,I was consistent in doing things that set me up for success,I got rejected for the Udacity Scholarship,,
8/27/2025 9:58:52,,Student 131,8/27/2025,I managed to run 7km,I missed most of my meetings,,
8/27/2025 11:09:04,,Student 132,1/12/1998,making progress in DataCamp,Playing attention to detail at times,The laptop went in for repair,I'm enjoying the experience
8/27/2025 11:28:55,,Student 133,8/27/2025,I completed all my tasks for the week and felt genuinely happy about the progress I made.,I struggled with time management mid-week and found myself rushing through some tasks instead of working at my best pace.,"No major blockers, but I did feel a bit overwhelmed balancing work and personal commitments, which made it harder to stay consistent.",I’d like to keep building on this momentum and find ways to stay consistent.
8/27/2025 11:35:10,,Student 134,8/27/2025,I Enjoyed being introduced to using AI and how can we utilize them in our lives.,Internet connection sometimes.,,
8/27/2025 12:18:52,,Student 135,8/27/2025,"I have learned how to save money. Before, I would get overexcited when I received money and save about 50% of it, only to end up regretting it later. I have learned that I should save 15% of my income.",I can say nothing went wrong this week; all is well.,Nothing stopped me.,"I enjoyed the tasks, thank you."
8/27/2025 12:35:57,,Student 136,8/27/2025,"I am enjoying the course, I am learning a lot of new things about financial wellness. I enjoyed the lessons on Debt and Assets the most, very insightful.",,,"The Wealthy Me course is really educational, exactly what we need as young graduates in the early career stage."
8/27/2025 13:55:52,,Student 137,8/27/2025,I enjoyed sharing my work with peers,I didn't have electricity for a whole week so i missed out on a lot of sessions and my workload piled up,Electricity and Family responsibilities,"Nothing for now, just looking forward "
